metodo,sample_size,error
w2v,2000,0.3225
w2v,2000,0.303
w2v,2000,0.326
w2v,2000,0.3285
w2v,2000,0.3245
w2v,2000,0.3215
w2v,2000,0.333
w2v,2000,0.33
w2v,2000,0.33
ensemble,100,0.25
ensemble,100,0.27
ensemble,100,0.38
ensemble,100,0.38
ensemble,100,0.32
ensemble,100,0.28
ensemble,100,0.38
ensemble,100,0.25
ensemble,100,0.33
ensemble,100,0.2
ensemble,500,0.316
ensemble,500,0.33599999999999997
ensemble,500,0.306
ensemble,500,0.322
ensemble,500,0.28600000000000003
ensemble,500,0.314
ensemble,500,0.312
ensemble,500,0.324
ensemble,500,0.318
ensemble,500,0.306
ensemble,1000,0.393
ensemble,1000,0.313
ensemble,1000,0.327
ensemble,1000,0.303
ensemble,1000,0.346
ensemble,1000,0.315
ensemble,1000,0.323
ensemble,1000,0.339
ensemble,1000,0.317
ensemble,1000,0.348
ensemble,1500,0.3426666667
ensemble,1500,0.3033333333
ensemble,1500,0.3366666667
ensemble,1500,0.336
ensemble,1500,0.328
ensemble,2000,0.3205
ensemble,2000,0.3385
ensemble,2000,0.3235
ensemble,2000,0.3305
ensemble,2000,0.34
