seq1,seq2,similarity
20,135,0.6571652
21,167,0.54549074
21,98,0.57013226
55,128,0.5374664
55,135,0.56916577
85,105,0.38406345
90,188,0.58512366
54,171,0.5882338
90,93,0.5523057
13,158,0.5631506
13,19,0.58549887
13,46,0.5945212
34,96,0.3566747
13,132,0.45267117
52,199,0.6494801
68,144,0.45589882
68,99,0.7033659
17,140,0.65999764
29,55,0.45224154
17,48,0.5766449
17,176,0.40701067
29,85,0.36523357
4,39,0.44046834
4,75,0.7498273
4,199,0.72907794
4,74,0.37249526
4,87,0.52309847
5,47,0.4728337
5,101,0.36110282
5,139,0.45863694
5,79,0.5187717
94,142,0.53997606
94,160,0.392158
8,22,0.47653747
8,93,0.33148763
38,159,0.21030267
71,119,0.64619356
38,149,0.24841675
38,94,0.2673714
76,80,0.3496598
12,82,0.6430926
76,187,0.33565208
76,170,0.28285027
12,23,0.52369547
25,147,0.5010168
25,29,0.4924649
25,81,0.5445591
25,99,0.68979156
7,14,0.4405456
84,198,0.46561772
7,15,0.4232921
7,8,0.3763248
32,153,0.5678968
16,196,0.44684857
16,64,0.456863
32,110,0.6913847
83,115,0.5952722
83,192,0.5781608
83,124,0.6425986
30,163,0.61062497
30,85,0.50378793
30,190,0.59570247
78,173,0.60486805
65,87,0.33461186
9,107,0.42103246
65,109,0.24751693
65,74,0.37570927
65,124,0.3765449
46,173,0.60761493
58,173,0.5927319
46,88,0.70253694
46,139,0.6285563
53,54,0.42906708
53,77,0.34103996
37,174,0.7721035
37,80,0.74079615
53,104,0.47291505
95,103,0.4422641
95,168,0.42253953
91,194,0.30932006
87,118,0.36831635
43,86,0.3786896
87,122,0.657096
43,128,0.59858644
15,40,0.45208806
15,159,0.41278622
14,199,0.5468074
14,36,0.5063183
15,46,0.4378375
22,145,0.53923684
63,65,0.39459106
63,135,0.50598764
63,173,0.51120776
49,169,0.5395133
28,81,0.41939232
49,195,0.4781441
49,121,0.50620997
49,115,0.6522894
60,83,0.4465928
96,181,0.47465974
60,120,0.47285363
2,142,0.53388447
2,83,0.5615168
77,109,0.3541367
77,197,0.42448673
86,100,0.38489717
88,168,0.4320239
86,124,0.40915304
82,126,0.6530789
93,134,0.57126653
82,155,0.6238931
36,88,0.582645
36,154,0.38509324
36,185,0.62025356
36,50,0.42999968
99,179,0.7678594
67,88,0.6527059
67,157,0.58284986
99,185,0.6859786
31,51,0.50833493
31,117,0.39605305
41,134,0.50049615
41,48,0.4992958
18,141,0.5193713
18,153,0.56350344
18,35,0.59003264
81,137,0.68137
81,196,0.4322375
59,151,0.39254338
59,86,0.44197294
40,58,0.4987949
40,100,0.5507497
74,82,0.50804996
74,125,0.48534882
57,59,0.3558608
57,196,0.30981308
24,53,0.47124946
24,140,0.6627423
6,108,0.47516283
6,17,0.5846178
6,191,0.53839934
47,50,0.42856565
47,132,0.50951594
47,61,0.64704216
70,151,0.44296744
70,133,0.47609425
48,95,0.4205861
48,83,0.62414765
48,172,0.42408434
44,168,0.39102048
44,139,0.4349624
79,168,0.48503062
79,146,0.54980284
62,190,0.6744315
62,135,0.5871589
1,62,0.3874828
1,13,0.34373024
1,15,0.29061148
11,147,0.4443018
11,104,0.4368378
33,156,0.47146946
33,135,0.38265708
148,154,0.3717448
120,141,0.65131426
146,191,0.6890282
123,196,0.34141204
124,187,0.68255824
166,168,0.6122999
155,159,0.4463492
158,197,0.5169898
151,161,0.57980585
145,182,0.58644056
121,151,0.41592777
150,155,0.63124686
178,187,0.41879794
135,162,0.63241494
136,172,0.3756884
109,157,0.4300939
118,153,0.5190618
168,176,0.386155
116,159,0.4473393
104,144,0.49865445
116,196,0.4701179
172,197,0.41440788
117,128,0.41113588
117,174,0.5522883
122,196,0.5264909
122,144,0.69086015
111,123,0.57675683
101,154,0.30994895
101,127,0.25915387
113,117,0.3985886
113,123,0.40886888
167,196,0.5487346
164,179,0.4217383
106,179,0.6135624
106,148,0.55519986
174,184,0.68397576
149,156,0.48840764
149,180,0.46719143
108,166,0.4523491
100,155,0.5860455
100,160,0.2673604
159,184,0.46481425
165,193,0.391739
105,160,0.2799535
147,159,0.36815876
114,135,0.3039889
103,168,0.4860186
144,183,0.62358785
143,176,0.29005826
110,116,0.47918802
162,163,0.59661937
179,181,0.6204944
125,146,0.43934527
125,139,0.5779611
176,185,0.38136858
131,146,0.37367144
131,147,0.3103941
173,176,0.38745087
163,165,0.5334202
152,160,0.2260252
128,151,0.48847866
126,151,0.4647811
130,136,0.47707874
142,199,0.66443706
138,172,0.32276887
139,163,0.6975256
112,113,0.53981644
119,123,0.6787191
133,142,0.4194073
129,143,0.51225007
132,135,0.5225928
27,164,0.29968438
27,100,0.36181298
35,159,0.50189334
35,136,0.7032199
89,196,0.37743714
23,161,0.40658343
23,62,0.5109314
97,111,0.6438908
97,185,0.56560963
3,62,0.6413868
3,199,0.72671145
3,111,0.64385337
80,100,0.5086684
80,153,0.65371245
42,154,0.21176764
42,59,0.39647916
98,193,0.46687225
0,165,0.2577395
0,66,0.26395783
0,146,0.28037345
66,70,0.5030673
26,149,0.50093096
26,131,0.37561297
10,69,0.43599796
10,195,0.44515207
10,19,0.7042454
73,108,0.4377923
92,126,0.46282732
92,182,0.47809285
56,189,0.5320714
56,96,0.39745697
72,75,0.50183076
64,80,0.48680162
64,111,0.5269078
39,84,0.49626562
39,92,0.38578388
39,66,0.54672563
50,119,0.44265485
50,111,0.58113146
19,22,0.5179254
19,93,0.55342275
19,78,0.5771028
20,130,0.554557
20,192,0.6644786
20,140,0.7049278
21,33,0.4204022
21,160,0.24505194
55,122,0.70390755
55,62,0.555101
85,138,0.45221707
90,92,0.42718562
90,116,0.5142142
90,115,0.556403
34,68,0.50371826
34,167,0.5387024
34,67,0.59021807
34,125,0.3250019
34,150,0.59773374
68,107,0.45364055
68,168,0.88833135
52,61,0.62286943
17,129,0.5708242
29,172,0.43610826
29,111,0.56861734
29,31,0.38176668
17,77,0.48752216
69,147,0.46173346
4,57,0.28834212
4,70,0.5699331
69,135,0.5031667
4,31,0.43823978
75,176,0.37070692
5,49,0.43794134
5,110,0.59472066
75,175,0.8424575
8,125,0.4089535
8,26,0.40460888
8,189,0.38983923
8,185,0.4196275
71,181,0.5183695
71,175,0.6607236
38,169,0.20416456
71,165,0.38743895
12,138,0.61222434
12,146,0.5569662
12,63,0.48926717
12,62,0.6009245
51,145,0.5846837
25,185,0.6393944
51,177,0.5142522
25,155,0.62722975
7,41,0.56874615
7,138,0.47922283
84,164,0.31034902
7,123,0.4411598
16,180,0.49498707
16,22,0.44035062
16,61,0.52083325
16,133,0.39053345
61,192,0.66739255
61,71,0.7126437
83,100,0.6262827
78,133,0.50033414
78,116,0.5795805
30,114,0.32080123
30,96,0.47273618
65,115,0.5385527
65,89,0.2943424
9,191,0.44497147
65,193,0.40492752
9,11,0.4841947
46,63,0.39367703
46,100,0.5394022
46,117,0.4939474
58,165,0.4317477
53,129,0.51393396
37,76,0.38396809
53,118,0.4155686
37,125,0.39267176
37,43,0.7370029
95,138,0.51880944
95,192,0.44553325
95,152,0.39685836
43,49,0.6857189
43,93,0.6785914
43,65,0.41626233
43,75,0.67101884
15,59,0.4645897
14,125,0.3048965
15,169,0.47870183
14,105,0.3691538
14,135,0.46214822
22,70,0.527881
63,198,0.510686
22,198,0.47845268
63,178,0.43702638
28,126,0.50264055
