seq1,seq2,similarity
14,180,0.07393397
63,187,0.25053313
36,44,0.18965262
122,145,0.13303377
90,135,0.20701423
83,129,0.16868627
14,114,0.8287942
22,98,0.18787874
45,122,0.11097621
122,179,0.09786818
112,136,0.21108843
54,137,0.13767608
61,142,0.023853278
14,49,0.06972953
22,46,0.05793683
45,69,0.11431545
122,137,0.116143644
54,171,0.12081433
7,110,0.17126425
61,139,0.08845629
14,158,0.09645548
22,178,0.034444917
77,129,0.23075998
45,145,0.83419585
122,197,0.03982439
35,135,1.0
54,184,0.08125795
7,117,0.10359043
61,101,0.051388297
14,111,0.1866672
22,101,0.08289159
77,123,0.11785785
122,144,0.10807309
101,158,0.10291214
35,49,0.1750507
21,121,0.5409126
54,122,0.096614674
7,139,0.23040198
83,149,0.101159565
14,17,0.085567005
22,180,0.061911114
77,177,0.32549885
1,147,0.18676168
122,124,0.08526597
101,178,0.04388744
114,197,0.055281717
35,180,0.18560563
7,30,0.28081372
61,161,0.27190006
15,49,0.10169676
22,122,0.27604085
77,133,0.20278427
1,142,0.10571823
135,180,0.18560563
122,175,0.12444521
111,144,0.19665371
114,144,0.15002027
126,180,0.14745735
35,90,0.20701423
7,158,0.13042557
61,103,0.1685507
43,143,0.6407244
15,155,0.13393886
63,182,0.15786153
2,146,0.10013614
122,199,0.116637185
101,130,0.31306133
114,122,0.09371664
126,179,0.1567573
7,14,0.12545328
61,175,0.03636503
87,123,0.12938088
14,197,0.060512945
22,58,0.09755557
2,97,0.10855925
81,109,0.23521534
111,114,0.17053019
100,125,0.21538207
75,81,0.22253677
7,17,0.11570235
61,185,0.035917696
87,182,0.34628975
14,85,0.08412874
63,150,0.114414364
2,182,0.11255702
81,181,0.7753556
101,139,0.1817984
100,184,0.10876934
75,109,0.20294851
7,101,0.13385104
61,122,0.053255174
43,174,0.1859334
14,175,0.07004959
22,85,0.070448056
123,132,0.20638773
101,142,0.049024075
100,194,0.14509656
180,185,0.05513507
75,175,0.38201386
7,107,0.6154509
61,180,0.038381536
87,150,0.25098276
14,144,0.16421647
22,139,0.1426839
44,61,0.08458207
123,150,0.0611151
158,185,0.071930125
111,122,0.12284822
75,181,0.28701255
38,138,0.20511274
7,49,0.09428717
61,137,0.19834162
43,97,0.20275557
22,185,0.05793683
44,150,0.17801708
123,187,0.13382374
158,178,0.04276429
111,197,0.072465904
5,105,0.45230502
71,150,0.11375961
7,130,0.18913278
83,183,0.8904086
87,187,0.54957694
22,158,0.08077027
86,186,0.63253576
